keyword_norm,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,recent_freq,early_freq,growth,decline,avg_freq,cv
agricultura,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,2.669269562140315
agricultura climáticamente inteligente,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,3.4641016128860884
agricultura digital,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,2.3452078783873294
agricultura sostenible,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,2.3452078783873294
agricultura tradicional,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural by products,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural credit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agricultural development,0.0,1.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,-1.0,1.0769230769230769,1.3363062094380367
agricultural economics,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural extension,0.0,0.0,1.0,5.0,1.0,3.0,1.0,6.0,0.0,6.0,1.0,5.0,-5.0,1.8461538461538463,1.6158932857179151
agricultural extension systems,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,2.3452078783873294
agricultural growth,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural innovation,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.5384615384615384,1.8735538637383402
agricultural innovation systems,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural landscape,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,-1.0,0.46153846153846156,1.825741857954976
agricultural mechanization,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,7.0,-7.0,1.5384615384615385,2.557342370342657
agricultural planning,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.3076923076923077,2.345207879149522
agricultural policies,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,4.0,1.0,3.0,-3.0,1.1538461538461537,1.5143755587488272
agricultural population,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural practices,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,-3.0,3.0,1.0,1.7097008283592505
agricultural production,1.0,0.0,3.0,5.0,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,1.9230769230769231,0.9448809448322834
agricultural productivity,0.0,0.0,2.0,8.0,7.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.9230769230769231,1.3290598179977808
agricultural products,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
agricultural research,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,-6.0,1.0,3.186510026944115
agricultural runoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agricultural sector,0.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.7692307692307693,1.6248076807159666
agricultural start-ups,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural sustainability,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agricultural technology,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,-2.0,1.0,1.6641005885092774
agricultural trade,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.23076923076923078,2.494438256768371
agricultural transformation,0.0,1.0,0.0,0.0,7.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,-1.0,1.2307692307692308,1.5983389814381874
agricultural value chains,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.7692307692307693,1.2649110639029133
agricultural waste management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agricultural water management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
agricultural water use,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.23076923076923078,2.494438256768371
agriculture,2.0,13.0,7.0,45.0,11.0,9.0,15.0,18.0,0.0,18.0,22.0,-4.0,4.0,12.307692307692308,0.9741582905178086
agrifood sector,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.46153846153846156,1.3743685415747737
agrifood systems,1.0,5.0,7.0,31.0,7.0,12.0,6.0,13.0,1.0,14.0,13.0,1.0,-1.0,8.461538461538462,0.9674880143077307
agrifood systems - food and agriculture systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,-2.0,0.3076923076923077,3.221024680634448
agro-ecological practices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agro-industrial sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,-3.0,0.46153846153846156,3.4641016143871988
agro-industrial sector-agribusiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agro-industry,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agro-pastoral systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agrobiodiversidad,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,-1.0,0.46153846153846156,1.6158932854553325
agrobiodiversity,0.0,0.0,3.0,2.0,2.0,0.0,0.0,7.0,1.0,8.0,3.0,5.0,-5.0,2.0,1.6290629679606523
agrochemicals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agroclimatic zones,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agroclimatology,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agroecological transition,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agroecologie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agroecology,1.0,4.0,2.0,17.0,5.0,5.0,1.0,9.0,0.0,9.0,7.0,2.0,-2.0,4.615384615384615,1.0461569884090145
agroecology transition,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
agroecosystems,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,2.3452078783873294
agroforestry,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,6.0,2.0,4.0,-4.0,1.3846153846153846,1.7585768655779266
agroforestry systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,-3.0,0.46153846153846156,3.4641016143871988
agronomic practices,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.38461538461538464,1.9183326088263215
agronomy,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,3.4641016136366436
agropastoral systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agropastoralism,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
agrosilvopastoral systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
agua,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.23076923076923078,2.4944382567683703
aiccra senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,0.3076923076923077,3.464101614011921
aid programmes,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,2.3452078783873294
air pollution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
alimento,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.23076923076923078,2.4944382567683703
altitude,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
amazonia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
amd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
anacardium occidentale-cashew (tree),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
anaemia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,0.3076923076923077,3.464101614011921
analysis,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,0.46153846153846156,2.345207879403586
analytical chemistry,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
analytical methods,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,2.345207879149522
and pastoral development,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
animal breeding,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.1766968107114346
animal diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
animal feeding,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,3.0,-3.0,0.9230769230769231,2.013840995380929
animal genetic resources,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
animal health,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0,3.0,4.0,-4.0,1.6153846153846154,1.8418171052015748
animal health management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
animal nutrition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
animal production,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
animal products,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,2.0,0.6153846153846154,1.9685019681830709
animal source foods,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3076923076923077,1.4999999995125
anthropology,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
anthropometry,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
anticipatory action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,-2.0,0.3076923076923077,3.221024680634448
antimicrobial resistance,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,-1.0,0.46153846153846156,1.825741857954976
análisis de género,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
análisis de políticas,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,0.38461538461538464,2.7999999992719995
análisis de redes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
análisis económico,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
apiculture,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
approaches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,0.3076923076923077,3.464101614011921
aproximación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
aquabusiness development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
aquaculture,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,2.0,0.46153846153846156,2.345207879403586
aquaculture business,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
aquaculture development,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.23076923076923078,2.494438256768371
aquaculture production,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
aquaculture systems,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.23076923076923078,2.494438256768371
aquatic ecosystems,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.23076923076923078,2.4944382567683703
aquatic food production,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
aquatic foods,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.38461538461538464,1.9183326088263215
aquifers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.23076923076923078,2.494438256768371
armed conflicts,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,4.0,0.6153846153846154,3.283481383607358
arroz,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,1.0,0.46153846153846156,1.6158932854553325
artificial insemination,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,0.38461538461538464,2.7999999992719995
artificial intelligence,0.0,0.0,0.0,3.0,1.0,1.0,0.0,17.0,0.0,17.0,0.0,17.0,-17.0,3.0,2.995723447476533
asociación de agricultores,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
assessment,0.0,0.0,1.0,2.0,1.0,0.0,15.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.8461538461538463,2.101586702039245
assets,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,0.3076923076923077,3.464101614011921
attitudes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
avian influenza,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
bacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
banana bunchy top virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
banana bunchy top-bunchy top disease,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,3.4641016128860884
bananas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.15384615384615385,3.464101612886088
barba del maíz,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
barley,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
beans,0.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,4.0,1.0,3.0,-3.0,1.0769230769230769,1.6872874014172832
beef,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.38461538461538464,1.624807680504742
behavior change,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.15384615384615385,3.464101612886088
behaviour,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.23076923076923078,2.4944382567683703
behavioural sciences,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,1.0,0.46153846153846156,1.8257418579549765
benchmarks,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
benefit-sharing mechanisms,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.23076923076923078,2.4944382567683703
benin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.23076923076923078,2.494438256768371
best practices,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
bien común,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
biodigesters,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,3.4641016128860884
biodiversidad,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,0.5384615384615384,1.5649215925812752
biodiversite,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,3.464101610634423
biodiversity,0.0,2.0,11.0,12.0,3.0,2.0,3.0,4.0,1.0,5.0,13.0,-8.0,8.0,4.3076923076923075,1.2694908990545457
biodiversity conservation,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,-8.0,1.5384615384615385,2.7999999998179996
